code,name,area,type
10050,Albury (C),305.9459,lga
10130,Armidale Regional (A),8620.699,lga
10250,Ballina (A),484.9389,lga
10300,Balranald (A),21690.6753,lga
10470,Bathurst Regional (A),3817.8646,lga
10500,Bayside (A),49.8904,lga
10550,Bega Valley (A),6278.8811,lga
10600,Bellingen (A),1600.4337,lga
10650,Berrigan (A),2065.7759,lga
10750,Blacktown (C),240.0487,lga
10800,Bland (A),8557.6535,lga
10850,Blayney (A),1524.647,lga
10900,Blue Mountains (C),1431.1442,lga
10950,Bogan (A),14599.8996,lga
11150,Bourke (A),41599.5072,lga
11200,Brewarrina (A),19163.4798,lga
11250,Broken Hill (C),170.1153,lga
11300,Burwood (A),7.1281,lga
11350,Byron (A),565.8029,lga
11400,Cabonne (A),6022.3498,lga
11450,Camden (A),201.0281,lga
11500,Campbelltown (C) (NSW),311.9111,lga
11520,Canada Bay (A),19.9233,lga
11570,Canterbury-Bankstown (A),110.2368,lga
11600,Carrathool (A),18934.4852,lga
11650,Central Coast (C) (NSW),1681.0695,lga
11700,Central Darling (A),53492.1931,lga
11720,Cessnock (C),1965.1589,lga
11730,Clarence Valley (A),10428.6803,lga
11750,Cobar (A),45579.3299,lga
11800,Coffs Harbour (C),1173.7437,lga
12000,Coolamon (A),2430.9037,lga
12150,Coonamble (A),9916.0536,lga
12160,Cootamundra-Gundagai Regional (A),3981.4173,lga
12350,Cowra (A),2808.7822,lga
12380,Cumberland (A),71.5511,lga
12390,Dubbo Regional (A),7534.5251,lga
12700,Dungog (A),2249.9983,lga
12730,Edward River (A),8883.4464,lga
12750,Eurobodalla (A),3428.1695,lga
12850,Fairfield (C),101.507,lga
12870,Federation (A),5685.0486,lga
12900,Forbes (A),4710.128,lga
12930,Georges River (A),38.3459,lga
12950,Gilgandra (A),4831.5057,lga
13010,Glen Innes Severn (A),5479.977,lga
13310,Goulburn Mulwaree (A),3220.0796,lga
13340,Greater Hume Shire (A),5749.5185,lga
13450,Griffith (C),1639.1728,lga
13550,Gunnedah (A),4987.0295,lga
13660,Gwydir (A),9259.6542,lga
13800,Hawkesbury (C),2775.1377,lga
13850,Hay (A),11325.9324,lga
13910,Hilltops (A),7140.8863,lga
14000,Hornsby (A),455.0375,lga
14100,Hunters Hill (A),5.7169,lga
14170,Inner West (A),35.3713,lga
14200,Inverell (A),8597.2081,lga
14300,Junee (A),2030.0222,lga
14350,Kempsey (A),3375.6707,lga
14400,Kiama (A),257.6636,lga
14500,Ku-ring-gai (A),85.4096,lga
14550,Kyogle (A),3584.1644,lga
14600,Lachlan (A),14964.2752,lga
14650,Lake Macquarie (C),648.6398,lga
14700,Lane Cove (A),10.4794,lga
14750,Leeton (A),1167.1877,lga
14850,Lismore (C),1287.7043,lga
14870,Lithgow (C),4512.2563,lga
14900,Liverpool (C),305.7396,lga
14920,Liverpool Plains (A),5082.2397,lga
14950,Lockhart (A),2895.8049,lga
15050,Maitland (C),391.5087,lga
15240,Mid-Coast (A),10053.8633,lga
15270,Mid-Western Regional (A),8752.259,lga
15300,Moree Plains (A),17906.5241,lga
15350,Mosman (A),8.6503,lga
15520,Murray River (A),11863.4771,lga
15560,Murrumbidgee (A),6880.7902,lga
15650,Muswellbrook (A),3404.884,lga
15700,Nambucca (A),1491.3432,lga
15750,Narrabri (A),13014.9937,lga
15800,Narrandera (A),4116.3459,lga
15850,Narromine (A),5261.5165,lga
15900,Newcastle (C),186.7549,lga
15950,North Sydney (A),10.4857,lga
